date,crop,temp,min_temp,max_temp,rainfall,humidity,soil_ph,water_requirement,growth_duration,weather_condition
2026-05-01,chilli,26.49,20.6,30.37,8.17,51.8,5.8,4.5,110,rainy
2026-05-02,chilli,24.59,20.83,28.74,2.52,83.31,6.78,4.5,110,showers
2026-05-03,chilli,26.94,22.45,32.5,9.27,76.79,6.17,4.5,110,rainy
2026-05-04,chilli,29.57,25.67,33.52,1.1,60.31,6.26,4.5,110,temperate
2026-05-05,chilli,24.3,20.44,27.81,4.7,47.87,6.2,4.5,110,showers
2026-05-06,chilli,24.3,21.19,28.97,6.18,78.54,6.07,4.5,110,showers
2026-05-07,chilli,29.74,24.91,35.55,5.56,63.85,6.52,4.5,110,showers
2026-05-08,chilli,27.3,22.79,32.39,3.75,77.38,6.08,4.5,110,showers
2026-05-09,chilli,23.59,20.44,28.3,4.58,49.06,6.64,4.5,110,showers
2026-05-10,chilli,26.63,22.79,29.92,4.01,59.01,6.47,4.5,110,showers
2026-05-11,chilli,23.61,17.88,28.45,3.82,65.05,6.38,4.5,110,showers
2026-05-12,chilli,23.6,19.88,29.57,6.7,65.47,6.05,4.5,110,showers
2026-05-13,chilli,25.73,22.29,29.15,5.71,60.5,6.21,4.5,110,showers
2026-05-14,chilli,19.26,14.79,23.82,3.61,71.23,6.88,4.5,110,showers
2026-05-15,chilli,19.83,13.87,25.46,6.8,54.32,6.75,4.5,110,showers
2026-05-16,chilli,23.31,19.59,28.54,5.61,63.58,6.01,4.5,110,showers
2026-05-17,chilli,21.96,16.95,27.05,6.63,66.2,6.55,4.5,110,showers
2026-05-18,chilli,25.94,20.66,31.05,6.26,70.14,6.88,4.5,110,showers
2026-05-19,chilli,22.28,18.56,26.35,3.34,72.12,5.67,4.5,110,showers
2026-05-20,chilli,20.76,15.58,24.64,3.88,53.75,6.77,4.5,110,showers
2026-05-21,chilli,29.4,25.29,34.83,6.49,49.66,6.17,4.5,110,showers
2026-05-22,chilli,24.32,19.43,29.75,6.22,77.78,6.79,4.5,110,showers
2026-05-23,chilli,25.2,20.3,30.8,4.96,68.32,6.12,4.5,110,showers
2026-05-24,chilli,20.73,16.12,26.47,5.23,57.52,5.6,4.5,110,showers
2026-05-25,chilli,23.37,20.1,27.9,7.56,80.51,5.69,4.5,110,showers
2026-05-26,chilli,25.33,19.83,29.84,3.82,66.16,6.52,4.5,110,showers
2026-05-27,chilli,21.55,17.58,26.94,6.09,76.79,6.63,4.5,110,showers
2026-05-28,chilli,26.13,22.57,31.08,4.6,65.68,6.05,4.5,110,showers
2026-05-29,chilli,23.2,20.08,28.3,4.56,85.61,6.82,4.5,110,showers
2026-05-30,chilli,24.12,19.35,29.51,7.2,82.55,5.67,4.5,110,showers
2026-05-31,chilli,23.19,18.16,28.86,6.65,62.51,6.47,4.5,110,showers
2026-06-01,chilli,30.56,27.51,34.57,6.63,74.72,5.89,4.5,110,showers
2026-06-02,chilli,24.96,20.42,29.09,7.61,71.45,6.17,4.5,110,showers
2026-06-03,chilli,21.83,18.15,25.11,5.04,78.69,6.52,4.5,110,showers
