Forecast Date,Crop,Forecast Temp,Forecast Rain,Forecast Hum,Matched Hist Date,Matched Hist Temp,Matched Hist Rain,Matched Hist Hum,Distance,Similarity Score
2026-05-19,Unknown,28.4,0.0,56.62,2026-07-02,27.59,61.11,55.72,1.6315805726462214,76.19
2026-05-20,Unknown,28.73,0.0,51.15,2026-04-14,29.6,53.32,47.55,1.4289993179909495,78.81
2026-05-21,Unknown,29.05,0.0,58.14,2026-07-04,27.3,56.48,60.14,1.7368825657209839,74.87
2026-05-22,Unknown,31.3,0.0,64.08,2026-06-12,29.18,73.37,62.69,2.041833424467595,71.16
2026-05-23,Unknown,30.32,10.42,92.08,2026-04-26,26.77,90.11,72.52,3.3720057084930515,57.01
2026-05-24,Unknown,30.41,0.0,66.36,2026-06-12,29.18,73.37,62.69,1.9981007302022364,71.68
2026-05-25,Unknown,31.37,0.0,61.36,2026-06-12,29.18,73.37,62.69,2.1611283967237362,69.75
2026-05-26,Unknown,35.01,0.0,64.29,2026-06-12,29.18,73.37,62.69,2.8433723109675935,62.26
2026-05-27,Unknown,30.47,0.0,68.57,2026-06-12,29.18,73.37,62.69,2.033173318165927,71.26
2026-05-28,Unknown,32.08,0.0,55.02,2026-06-15,30.43,58.87,48.78,1.8125770810464787,73.93
2026-05-29,Unknown,32.14,0.0,49.93,2026-06-15,30.43,58.87,48.78,1.686851490521491,75.49
2026-05-30,Unknown,28.33,0.0,52.3,2026-07-03,26.87,45.93,46.81,1.4182673724964856,78.95
2026-05-31,Unknown,29.22,0.0,56.86,2026-07-02,27.59,61.11,55.72,1.6226434629610236,76.3
2026-06-01,Unknown,28.81,0.0,65.46,2026-07-04,27.3,56.48,60.14,1.6574194124274675,75.86
2026-06-02,Unknown,28.68,0.0,59.54,2026-07-04,27.3,56.48,60.14,1.5098672788765297,77.75
2026-06-03,Unknown,26.5,0.0,57.47,2026-06-29,24.91,53.22,60.05,1.614212735271797,76.41
2026-06-04,Unknown,27.28,0.0,58.39,2026-07-04,27.3,56.48,60.14,1.4604229738548198,78.4
2026-06-05,Unknown,26.89,0.0,61.38,2026-06-29,24.91,53.22,60.05,1.508545973457211,77.77
2026-06-06,Unknown,24.24,0.0,58.61,2026-06-29,24.91,53.22,60.05,1.4325265494740047,78.76
2026-06-07,Unknown,21.91,0.0,66.92,2026-05-21,20.43,4.37,66.98,0.6249758830101546,90.11
2026-06-08,Unknown,25.52,0.0,46.83,2026-07-03,26.87,45.93,46.81,1.3429398751878212,79.95
2026-06-09,Unknown,22.55,0.0,60.64,2026-05-07,20.66,0.79,59.13,1.230354622888859,81.46
2026-06-10,Unknown,23.06,0.0,48.55,2026-07-13,20.63,4.82,45.93,1.0491988767532752,83.96
2026-06-11,Unknown,22.84,0.0,68.53,2026-07-11,20.58,4.99,65.49,0.9763530099808843,84.98
2026-06-12,Unknown,25.4,18.62,91.33,2026-04-08,22.18,80.04,81.29,2.376063547689654,67.3
2026-06-13,Unknown,24.92,0.0,69.83,2026-05-30,25.62,64.59,70.03,1.6435071941119952,76.04
2026-06-14,Unknown,29.48,0.0,56.02,2026-07-02,27.59,61.11,55.72,1.6901328840708945,75.45
2026-06-15,Unknown,26.78,0.0,53.47,2026-07-03,26.87,45.93,46.81,1.4297254763549216,78.8
2026-06-16,Unknown,27.41,0.0,55.31,2026-07-02,27.59,61.11,55.72,1.5214910841972278,77.6
2026-06-17,Unknown,28.8,0.0,62.22,2026-07-04,27.3,56.48,60.14,1.6432022823270271,76.04
