date,crop,temp,min_temp,max_temp,rainfall,humidity,soil_ph,water_requirement,growth_duration,weather_condition
2026-05-01,chilli,31.1,28.25,35.0,2.37,61.85,6.45,4.5,110.0,showers
2026-05-02,chilli,32.85,26.73,40.29,3.51,55.01,6.45,4.5,110.0,showers
2026-05-03,chilli,32.95,27.36,40.6,6.67,55.99,6.45,4.5,110.0,showers
2026-05-04,chilli,31.81,27.13,39.3,6.21,59.49,6.45,4.5,110.0,showers
2026-05-05,chilli,31.26,26.65,38.19,2.74,59.88,6.45,4.5,110.0,showers
2026-05-06,chilli,30.88,26.55,37.42,1.08,64.43,6.45,4.5,110.0,temperate
2026-05-07,chilli,30.76,26.55,37.16,4.09,66.02,6.45,4.5,110.0,showers
2026-05-08,chilli,29.88,27.15,34.31,8.09,73.83,6.45,4.5,110.0,rainy
2026-05-09,chilli,29.62,26.98,34.55,10.96,75.65,6.45,4.5,110.0,rainy
2026-05-10,chilli,30.02,25.92,36.12,1.66,69.57,6.45,4.5,110.0,showers
2026-05-11,chilli,30.71,26.27,36.97,2.21,65.29,6.45,4.5,110.0,showers
2026-05-12,chilli,30.79,25.47,37.27,0.5,62.63,6.45,4.5,110.0,temperate
2026-05-13,chilli,30.93,26.79,35.38,0.78,61.15,6.45,4.5,110.0,temperate
2026-05-14,chilli,31.44,26.66,38.34,1.5,60.65,6.45,4.5,110.0,temperate
2026-05-15,chilli,31.26,27.06,35.96,0.32,57.95,6.45,4.5,110.0,temperate
2026-05-16,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-17,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-18,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-19,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-20,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-21,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-22,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-23,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-24,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-25,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-26,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-27,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-28,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-29,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-30,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-05-31,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-01,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-02,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-03,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-04,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-05,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-06,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-07,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-08,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-09,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-10,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-11,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-12,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-13,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-14,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-15,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-16,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-17,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-18,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-19,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-20,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-21,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-22,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-23,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-24,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-25,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-26,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-27,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-28,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-29,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-06-30,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-01,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-02,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-03,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-04,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-05,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-06,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-07,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-08,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-09,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-10,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-11,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-12,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-13,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-14,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-15,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-16,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-17,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-18,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-19,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-20,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-21,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-22,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-23,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-24,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-25,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-26,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-27,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-28,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-29,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-30,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-07-31,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-01,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-02,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-03,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-04,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-05,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-06,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-07,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-08,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-09,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-10,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-11,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-12,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-13,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-14,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-15,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-16,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-17,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
2026-08-18,chilli,31.32,26.63,37.84,2.57,60.81,6.45,4.5,110.0,showers
