date,crop,temp,min_temp,max_temp,rainfall,humidity,soil_ph,water_requirement,growth_duration,weather_condition
2026-05-01,rice,20.88,17.63,23.44,202.94,82.0,6.5,10.0,120,rainy
2026-05-02,rice,21.77,17.37,25.54,226.66,80.32,7.04,10.0,120,rainy
2026-05-03,rice,23.0,19.04,26.13,263.96,82.32,7.84,10.0,120,rainy
2026-05-04,rice,26.49,22.79,30.01,242.86,80.16,6.98,10.0,120,rainy
2026-05-05,rice,20.13,17.32,24.45,262.72,81.6,7.63,10.0,120,rainy
2026-05-06,rice,23.06,20.25,26.06,251.05,83.37,7.07,10.0,120,rainy
2026-05-07,rice,22.71,20.09,26.03,271.32,82.64,5.7,10.0,120,rainy
2026-05-08,rice,20.28,16.05,24.29,241.97,82.89,5.72,10.0,120,rainy
2026-05-09,rice,24.52,20.81,27.47,230.45,83.54,6.69,10.0,120,rainy
2026-05-10,rice,23.22,19.31,25.88,221.21,83.03,6.34,10.0,120,rainy
2026-05-11,rice,26.53,23.99,29.61,264.61,81.42,5.39,10.0,120,rainy
2026-05-12,rice,23.98,19.54,26.8,250.08,81.45,7.5,10.0,120,rainy
2026-05-13,rice,26.8,22.64,31.16,284.44,80.89,5.11,10.0,120,rainy
2026-05-14,rice,24.01,21.09,28.13,185.28,82.06,6.98,10.0,120,rainy
2026-05-15,rice,25.67,22.8,29.43,209.59,80.66,6.95,10.0,120,rainy
2026-05-16,rice,24.28,21.42,28.53,231.09,80.3,7.04,10.0,120,rainy
2026-05-17,rice,21.59,18.48,25.69,276.66,82.79,6.25,10.0,120,rainy
2026-05-18,rice,23.79,20.24,26.67,206.26,80.42,6.97,10.0,120,rainy
2026-05-19,rice,21.87,18.5,26.15,224.56,80.19,5.95,10.0,120,rainy
2026-05-20,rice,23.58,20.5,27.16,291.3,83.59,5.85,10.0,120,rainy
2026-05-21,rice,21.33,17.6,25.44,185.5,80.47,6.44,10.0,120,rainy
2026-05-22,rice,25.16,22.38,29.45,231.38,83.12,5.07,10.0,120,rainy
2026-05-23,rice,21.95,18.86,25.08,213.36,80.97,6.01,10.0,120,rainy
2026-05-24,rice,21.05,17.82,23.77,233.11,82.68,6.25,10.0,120,rainy
2026-05-25,rice,23.48,20.07,26.44,224.06,81.33,7.38,10.0,120,rainy
2026-05-26,rice,25.08,21.01,28.43,257.0,80.52,7.78,10.0,120,rainy
2026-05-27,rice,26.36,23.46,30.5,271.36,84.04,6.29,10.0,120,rainy
2026-05-28,rice,24.53,21.0,28.75,260.26,80.54,7.07,10.0,120,rainy
2026-05-29,rice,20.78,17.09,23.29,240.08,84.5,6.24,10.0,120,rainy
2026-05-30,rice,22.3,19.71,25.82,197.98,80.64,6.04,10.0,120,rainy
2026-05-31,rice,21.45,17.73,24.78,272.2,84.94,5.82,10.0,120,rainy
2026-06-01,rice,22.18,19.34,25.12,200.09,80.33,6.36,10.0,120,rainy
2026-06-02,rice,24.53,21.9,27.27,224.68,82.74,6.36,10.0,120,rainy
2026-06-03,rice,20.27,15.87,23.44,270.44,81.64,5.01,10.0,120,rainy
2026-06-04,rice,25.74,21.3,30.12,233.13,83.88,6.15,10.0,120,rainy
2026-06-05,rice,26.8,22.68,29.94,193.35,82.15,5.95,10.0,120,rainy
2026-06-06,rice,26.76,23.65,30.3,272.3,81.18,5.96,10.0,120,rainy
2026-06-07,rice,23.86,21.17,27.77,285.25,83.15,5.56,10.0,120,rainy
2026-06-08,rice,21.02,17.15,24.25,298.4,82.95,7.42,10.0,120,rainy
2026-06-09,rice,24.17,20.79,28.62,257.03,83.73,5.58,10.0,120,rainy
2026-06-10,rice,22.78,20.04,27.21,248.72,82.07,6.43,10.0,120,rainy
2026-06-11,rice,25.63,22.14,28.63,209.9,83.53,5.53,10.0,120,rainy
