date,crop,temp,min_temp,max_temp,rainfall,humidity,soil_ph,water_requirement,growth_duration,weather_condition
2026-05-01,rice,31.1,28.25,35.0,2.37,61.85,6.0,10.0,120,showers
2026-05-02,rice,32.85,26.73,40.29,3.51,55.01,6.0,10.0,120,showers
2026-05-03,rice,32.95,27.36,40.6,6.67,55.99,6.0,10.0,120,showers
2026-05-04,rice,31.81,27.13,39.3,6.21,59.49,6.0,10.0,120,showers
2026-05-05,rice,31.26,26.65,38.19,2.74,59.88,6.0,10.0,120,showers
2026-05-06,rice,30.88,26.55,37.42,1.08,64.43,6.0,10.0,120,temperate
2026-05-07,rice,30.76,26.55,37.16,4.09,66.02,6.0,10.0,120,showers
2026-05-08,rice,29.88,27.15,34.31,8.09,73.83,6.0,10.0,120,rainy
2026-05-09,rice,29.62,26.98,34.55,10.96,75.65,6.0,10.0,120,rainy
2026-05-10,rice,30.02,25.92,36.12,1.66,69.57,6.0,10.0,120,showers
2026-05-11,rice,30.71,26.27,36.97,2.21,65.29,6.0,10.0,120,showers
2026-05-12,rice,30.79,25.47,37.27,0.5,62.63,6.0,10.0,120,temperate
2026-05-13,rice,30.93,26.79,35.38,0.78,61.15,6.0,10.0,120,temperate
2026-05-14,rice,31.44,26.66,38.34,1.5,60.65,6.0,10.0,120,temperate
2026-05-15,rice,31.26,27.06,35.96,0.32,57.95,6.0,10.0,120,temperate
2026-05-16,rice,31.32,26.63,37.84,2.57,60.81,6.0,10.0,120,showers
2026-05-17,rice,-999.0,-999.0,-999.0,-999.0,-999.0,6.0,10.0,120,cool
2026-05-18,rice,-999.0,-999.0,-999.0,-999.0,-999.0,6.0,10.0,120,cool
2026-05-19,rice,-999.0,-999.0,-999.0,-999.0,-999.0,6.0,10.0,120,cool
2026-05-20,rice,-999.0,-999.0,-999.0,-999.0,-999.0,6.0,10.0,120,cool
2026-05-21,rice,-999.0,-999.0,-999.0,-999.0,-999.0,6.0,10.0,120,cool
